country_flag,country,capital,continent
2/2f/Flag_of_Armenia.svg/100px-Flag_of_Armenia.svg.png,Armenia,Yerevan,Asia
d/dd/Flag_of_Azerbaijan.svg/100px-Flag_of_Azerbaijan.svg.png,Azerbaijan,Baku,Asia
2/2c/Flag_of_Bahrain.svg/100px-Flag_of_Bahrain.svg.png,Bahrain,Manama,Asia
f/f9/Flag_of_Bangladesh.svg/100px-Flag_of_Bangladesh.svg.png,Bangladesh,Dhaka,Asia
9/91/Flag_of_Bhutan.svg/100px-Flag_of_Bhutan.svg.png,Bhutan,Thimphu,Asia
9/9c/Flag_of_Brunei.svg/100px-Flag_of_Brunei.svg.png,Brunei,Bandar Seri Begawan,Asia
8/83/Flag_of_Cambodia.svg/100px-Flag_of_Cambodia.svg.png,Cambodia,Phnom Penh,Asia
f/fa/Flag_of_the_People%27s_Republic_of_China.svg/100px-Flag_of_the_People%27s_Republic_of_China.svg.png,China,Beijing,Asia
d/d4/Flag_of_Cyprus.svg/100px-Flag_of_Cyprus.svg.png,Cyprus,Nicosia,Asia
2/26/Flag_of_East_Timor.svg/100px-Flag_of_East_Timor.svg.png,East Timor,Dili,Asia
0/0f/Flag_of_Georgia.svg/100px-Flag_of_Georgia.svg.png,Georgia,Tbilisi,Asia
4/41/Flag_of_India.svg/100px-Flag_of_India.svg.png,India,New Delhi,Asia
9/9f/Flag_of_Indonesia.svg/100px-Flag_of_Indonesia.svg.png,Indonesia,Jakarta,Asia
c/ca/Flag_of_Iran.svg/100px-Flag_of_Iran.svg.png,Iran,Tehran,Asia
f/f6/Flag_of_Iraq.svg/100px-Flag_of_Iraq.svg.png,Iraq,Baghdad,Asia
d/d4/Flag_of_Israel.svg/100px-Flag_of_Israel.svg.png,Israel,Jerusalem,Asia
9/9e/Flag_of_Japan.svg/100px-Flag_of_Japan.svg.png,Japan,Tokyo,Asia
c/c0/Flag_of_Jordan.svg/100px-Flag_of_Jordan.svg.png,Jordan,Amman,Asia
d/d3/Flag_of_Kazakhstan.svg/100px-Flag_of_Kazakhstan.svg.png,Kazakhstan,Astana,Asia
5/51/Flag_of_North_Korea.svg/100px-Flag_of_North_Korea.svg.png,North Korea,Pyongyang,Asia
0/09/Flag_of_South_Korea.svg/100px-Flag_of_South_Korea.svg.png,South Korea,Seoul,Asia
a/aa/Flag_of_Kuwait.svg/100px-Flag_of_Kuwait.svg.png,Kuwait,Kuwait City,Asia
c/c7/Flag_of_Kyrgyzstan.svg/100px-Flag_of_Kyrgyzstan.svg.png,Kyrgyzstan,Bishkek,Asia
5/56/Flag_of_Laos.svg/100px-Flag_of_Laos.svg.png,Laos,Vientiane,Asia
5/59/Flag_of_Lebanon.svg/100px-Flag_of_Lebanon.svg.png,Lebanon,Beirut,Asia
6/66/Flag_of_Malaysia.svg/100px-Flag_of_Malaysia.svg.png,Malaysia,Kuala Lumpur,Asia
0/0f/Flag_of_Maldives.svg/100px-Flag_of_Maldives.svg.png,Maldives,Malé,Asia
4/4c/Flag_of_Mongolia.svg/100px-Flag_of_Mongolia.svg.png,Mongolia,Ulaanbaatar,Asia
8/8c/Flag_of_Myanmar.svg/100px-Flag_of_Myanmar.svg.png,Myanmar,Nay Pyi Taw,Asia
9/9b/Flag_of_Nepal.svg/55px-Flag_of_Nepal.svg.png,Nepal,Kathmandu,Asia
d/dd/Flag_of_Oman.svg/100px-Flag_of_Oman.svg.png,Oman,Muscat,Asia
3/32/Flag_of_Pakistan.svg/100px-Flag_of_Pakistan.svg.png,Pakistan,Islamabad,Asia
0/00/Flag_of_Palestine.svg/100px-Flag_of_Palestine.svg.png,Palestine,Ramallah,Asia
9/99/Flag_of_the_Philippines.svg/100px-Flag_of_the_Philippines.svg.png,Philippines,Manila,Asia
6/65/Flag_of_Qatar.svg/100px-Flag_of_Qatar.svg.png,Qatar,Doha,Asia
0/0d/Flag_of_Saudi_Arabia.svg/100px-Flag_of_Saudi_Arabia.svg.png,Saudi Arabia,Riyadh,Asia
4/48/Flag_of_Singapore.svg/100px-Flag_of_Singapore.svg.png,Singapore,Singapore,Asia
1/11/Flag_of_Sri_Lanka.svg/100px-Flag_of_Sri_Lanka.svg.png,Sri Lanka,Colombo,Asia
5/53/Flag_of_Syria.svg/100px-Flag_of_Syria.svg.png,Syria,Damascus,Asia
d/d0/Flag_of_Tajikistan.svg/100px-Flag_of_Tajikistan.svg.png,Tajikistan,Dushanbe,Asia
7/72/Flag_of_the_Republic_of_China.svg/100px-Flag_of_the_Republic_of_China.svg.png,Taiwan,Taipei,Asia
a/a9/Flag_of_Thailand.svg/100px-Flag_of_Thailand.svg.png,Thailand,Bangkok,Asia
b/b4/Flag_of_Turkey.svg/100px-Flag_of_Turkey.svg.png,Turkey,Ankara,Asia
1/1b/Flag_of_Turkmenistan.svg/100px-Flag_of_Turkmenistan.svg.png,Turkmenistan,Ashgabat,Asia
c/cb/Flag_of_the_United_Arab_Emirates.svg/100px-Flag_of_the_United_Arab_Emirates.svg.png,United Arab Emirates,Abu Dhabi,Asia
8/84/Flag_of_Uzbekistan.svg/100px-Flag_of_Uzbekistan.svg.png,Uzbekistan,Tashkent,Asia
2/21/Flag_of_Vietnam.svg/100px-Flag_of_Vietnam.svg.png,Vietnam,Hanoi,Asia
8/89/Flag_of_Yemen.svg/100px-Flag_of_Yemen.svg.png,Yemen,Sana'a,Asia
3/36/Flag_of_Albania.svg/100px-Flag_of_Albania.svg.png,Albania,Tirana,Europe
1/19/Flag_of_Andorra.svg/100px-Flag_of_Andorra.svg.png,Andorra,Andorra la Vella,Europe
4/41/Flag_of_Austria.svg/100px-Flag_of_Austria.svg.png,Austria,Vienna,Europe
8/85/Flag_of_Belarus.svg/100px-Flag_of_Belarus.svg.png,Belarus,Minsk,Europe
6/65/Flag_of_Belgium.svg/100px-Flag_of_Belgium.svg.png,Belgium,Brussels,Europe
b/bf/Flag_of_Bosnia_and_Herzegovina.svg/100px-Flag_of_Bosnia_and_Herzegovina.svg.png,Bosnia and Herzegovina,Sarajevo,Europe
9/9a/Flag_of_Bulgaria.svg/100px-Flag_of_Bulgaria.svg.png,Bulgaria,Sofia,Europe
1/1b/Flag_of_Croatia.svg/100px-Flag_of_Croatia.svg.png,Croatia,Zagreb,Europe
c/cb/Flag_of_the_Czech_Republic.svg/100px-Flag_of_the_Czech_Republic.svg.png,Czechia,Prague,Europe
9/9c/Flag_of_Denmark.svg/100px-Flag_of_Denmark.svg.png,Denmark,Copenhagen,Europe
8/8f/Flag_of_Estonia.svg/100px-Flag_of_Estonia.svg.png,Estonia,Tallinn,Europe
b/bc/Flag_of_Finland.svg/100px-Flag_of_Finland.svg.png,Finland,Helsinki,Europe
c/c3/Flag_of_France.svg/100px-Flag_of_France.svg.png,France,Paris,Europe
b/ba/Flag_of_Germany.svg/100px-Flag_of_Germany.svg.png,Germany,Berlin,Europe
5/5c/Flag_of_Greece.svg/100px-Flag_of_Greece.svg.png,Greece,Athens,Europe
c/c1/Flag_of_Hungary.svg/100px-Flag_of_Hungary.svg.png,Hungary,Budapest,Europe
c/ce/Flag_of_Iceland.svg/100px-Flag_of_Iceland.svg.png,Iceland,Reykjavík,Europe
4/45/Flag_of_Ireland.svg/100px-Flag_of_Ireland.svg.png,Ireland,Dublin,Europe
0/03/Flag_of_Italy.svg/100px-Flag_of_Italy.svg.png,Italy,Rome,Europe
1/1f/Flag_of_Kosovo.svg/100px-Flag_of_Kosovo.svg.png,Kosovo,Pristina,Europe
8/84/Flag_of_Latvia.svg/100px-Flag_of_Latvia.svg.png,Latvia,Riga,Europe
4/47/Flag_of_Liechtenstein.svg/100px-Flag_of_Liechtenstein.svg.png,Liechtenstein,Vaduz,Europe
1/11/Flag_of_Lithuania.svg/100px-Flag_of_Lithuania.svg.png,Lithuania,Vilnius,Europe
d/da/Flag_of_Luxembourg.svg/100px-Flag_of_Luxembourg.svg.png,Luxembourg,Luxembourg,Europe
7/73/Flag_of_Malta.svg/100px-Flag_of_Malta.svg.png,Malta,Valletta,Europe
2/27/Flag_of_Moldova.svg/100px-Flag_of_Moldova.svg.png,Moldova,Chișinău,Europe
e/ea/Flag_of_Monaco.svg/100px-Flag_of_Monaco.svg.png,Monaco,Monaco,Europe
6/64/Flag_of_Montenegro.svg/100px-Flag_of_Montenegro.svg.png,Montenegro,Podgorica,Europe
2/20/Flag_of_the_Netherlands.svg/100px-Flag_of_the_Netherlands.svg.png,Netherlands,Amsterdam,Europe
7/79/Flag_of_North_Macedonia.svg/100px-Flag_of_North_Macedonia.svg.png,North Macedonia,Skopje,Europe
d/d9/Flag_of_Norway.svg/100px-Flag_of_Norway.svg.png,Norway,Oslo,Europe
1/12/Flag_of_Poland.svg/100px-Flag_of_Poland.svg.png,Poland,Warsaw,Europe
5/5c/Flag_of_Portugal.svg/100px-Flag_of_Portugal.svg.png,Portugal,Lisbon,Europe
7/73/Flag_of_Romania.svg/100px-Flag_of_Romania.svg.png,Romania,Bucharest,Europe
f/f3/Flag_of_Russia.svg/100px-Flag_of_Russia.svg.png,Russia,Moscow,Europe
b/b1/Flag_of_San_Marino.svg/100px-Flag_of_San_Marino.svg.png,San Marino,San Marino,Europe
f/ff/Flag_of_Serbia.svg/100px-Flag_of_Serbia.svg.png,Serbia,Belgrade,Europe
e/e6/Flag_of_Slovakia.svg/100px-Flag_of_Slovakia.svg.png,Slovakia,Bratislava,Europe
f/f0/Flag_of_Slovenia.svg/100px-Flag_of_Slovenia.svg.png,Slovenia,Ljubljana,Europe
9/9a/Flag_of_Spain.svg/100px-Flag_of_Spain.svg.png,Spain,Madrid,Europe
4/4c/Flag_of_Sweden.svg/100px-Flag_of_Sweden.svg.png,Sweden,Stockholm,Europe
f/f3/Flag_of_Switzerland.svg/100px-Flag_of_Switzerland.svg.png,Switzerland,Bern,Europe
4/49/Flag_of_Ukraine.svg/100px-Flag_of_Ukraine.svg.png,Ukraine,Kyiv,Europe
8/83/Flag_of_the_United_Kingdom_%283-5%29.svg/100px-Flag_of_the_United_Kingdom_%283-5%29.svg.png,United Kingdom,London,Europe
f/fc/Flag_of_the_Vatican_City_%282001%E2%80%932023%29.svg/100px-Flag_of_the_Vatican_City_%282001%E2%80%932023%29.svg.png,Vatican City,Vatican City,Europe
8/89/Flag_of_Antigua_and_Barbuda.svg/100px-Flag_of_Antigua_and_Barbuda.svg.png,Antigua and Barbuda,St. John's,North America
9/93/Flag_of_the_Bahamas.svg/100px-Flag_of_the_Bahamas.svg.png,The Bahamas,Nassau,North America
e/ef/Flag_of_Barbados.svg/100px-Flag_of_Barbados.svg.png,Barbados,Bridgetown,North America
e/e7/Flag_of_Belize.svg/100px-Flag_of_Belize.svg.png,Belize,Belmopan,North America
c/cf/Flag_of_Canada.svg/100px-Flag_of_Canada.svg.png,Canada,Ottawa,North America
b/bc/Flag_of_Costa_Rica_%28state%29.svg/100px-Flag_of_Costa_Rica_%28state%29.svg.png,Costa Rica,San José,North America
b/bd/Flag_of_Cuba.svg/100px-Flag_of_Cuba.svg.png,Cuba,Havana,North America
c/c4/Flag_of_Dominica.svg/100px-Flag_of_Dominica.svg.png,Dominica,Roseau,North America
9/9f/Flag_of_the_Dominican_Republic.svg/100px-Flag_of_the_Dominican_Republic.svg.png,Dominican Republic,Santo Domingo,North America
3/34/Flag_of_El_Salvador.svg/100px-Flag_of_El_Salvador.svg.png,El Salvador,San Salvador,North America
b/bc/Flag_of_Grenada.svg/100px-Flag_of_Grenada.svg.png,Grenada,St. George's,North America
e/ec/Flag_of_Guatemala.svg/100px-Flag_of_Guatemala.svg.png,Guatemala,Guatemala City,North America
5/56/Flag_of_Haiti.svg/100px-Flag_of_Haiti.svg.png,Haiti,Port-au-Prince,North America
8/82/Flag_of_Honduras.svg/100px-Flag_of_Honduras.svg.png,Honduras,Tegucigalpa,North America
0/0a/Flag_of_Jamaica.svg/100px-Flag_of_Jamaica.svg.png,Jamaica,Kingston,North America
f/fc/Flag_of_Mexico.svg/100px-Flag_of_Mexico.svg.png,Mexico,Mexico City,North America
1/19/Flag_of_Nicaragua.svg/100px-Flag_of_Nicaragua.svg.png,Nicaragua,Managua,North America
